village_code_2011;village_name_2011;state_code_2011;district_code_2011;sub_district_code_2011;village_code_2001;village_name_2001;state_code_2001;district_code_2001;sub_district_code_2001	
506426;Chher Nani;24;468;3722;100;Chher Nani;24;1;1	
506427;Shinapar;24;468;3722;200;Shinapar;24;1;1	
506428;Punrajpar;24;468;3722;300;Punrajpur;24;1;1	
506429;Kaner;24;468;3722;400;Kaner;24;1;1	
506430;Lakhpat;24;468;3722;500;Lakhpat;24;1;1	
506431;Karanpar;24;468;3722;600;Karanpur;24;1;1	
506432;Guneri;24;468;3722;700;Guneri;24;1;1	
506433;Sayra;24;468;3722;800;Sayra;24;1;1	
506434;Mudhan;24;468;3722;900;Mudhan;24;1;1	
506435;Siyot;24;468;3722;1000;Siyot;24;1;1	
506436;Atdo;24;468;3722;1100;Atdo;24;1;1	
506437;Ukher;24;468;3722;1200;Ukher;24;1;1	
506438;Umarsar;24;468;3722;1300;Umarsar;24;1;1	
506439;Pranpar;24;468;3722;1400;Pranpar;24;1;1	
506440;Baiyavo;24;468;3722;1500;Baiyava;24;1;1	
506441;Maldo;24;468;3722;1600;Malda;24;1;1	
506442;Khengarpar;24;468;3722;1700;Khengarpar;24;1;1	
506443;Chher Moti;24;468;3722;1800;Chher Moti;24;1;1	
506444;Fatehpur;24;468;3722;1900;Fatehpur;24;1;1	
506445;Kapurasi;24;468;3722;2000;Kapurasi;24;1;1	
506446;Koriyani;24;468;3722;2100;Koriyani;24;1;1	
506447;Mundhvay;24;468;3722;2200;Mundhvay;24;1;1	
506448;Panandhro;24;468;3722;2300;Panandhro;24;1;1	
506449;Fulra;24;468;3722;2400;Fulra;24;1;1	
506450;Akari;24;468;3722;2500;Akari;24;1;1	
506451;Chhuger;24;468;3722;2600;Chhuger;24;1;1	
506452;Dhareshi;24;468;3722;2700;Dhareshi;24;1;1	
506453;Ghaduli;24;468;3722;2800;Ghaduli;24;1;1	
506454;Lakhapar;24;468;3722;2900;Lakhapar;24;1;1	
506455;Bana;24;468;3722;3000;Bana;24;1;1	
506456;Jara;24;468;3722;3100;Jara;24;1;1	
506457;Khatiyun (Khatiya);24;468;3722;3200;Khatiyun (Khatiya);24;1;1	
506458;Virani;24;468;3722;3300;Virani;24;1;1	
506459;Khanot;24;468;3722;3400;Khanot;24;1;1	
506460;Naredi;24;468;3722;3500;Naredi;24;1;1	
506461;Kaiyari;24;468;3722;3600;Kaiyari;24;1;1	
506462;Dhunay;24;468;3722;3700;Dhunay;24;1;1	
506463;Koteshvar;24;468;3722;3800;Koteshvar;24;1;1	
506464;Narayan Sarovar;24;468;3722;3900;Narayan Sarovar;24;1;1	
506465;Kanoj;24;468;3722;4000;Kanoj;24;1;1	
506466;Sheh;24;468;3722;4100;Sheh;24;1;1	
506467;Godhatad;24;468;3722;4200;Godhatad;24;1;1	
506468;Mindhiyari;24;468;3722;4300;Mindhiyari;24;1;1	
506469;Subhashpar(Sanandhro);24;468;3722;4400;Subhashpar(Sanandhro);24;1;1	
506470;Dayapar;24;468;3722;4500;Dayapar;24;1;1	
506471;Amiya;24;468;3722;4600;Amiya;24;1;1	
506472;Haroda;24;468;3722;4700;Haroda;24;1;1	
506473;Jumara;24;468;3722;4800;Jumara;24;1;1	
506474;Nara;24;468;3722;4900;Nara;24;1;1	
506475;Junachay;24;468;3722;5000;Junachay;24;1;1	
506476;Meghpar;24;468;3722;5100;Meghpar;24;1;1	
506477;Dolatpar;24;468;3722;5200;Dolatpar;24;1;1	
506478;Bitiyari;24;468;3722;5300;Bitiyari;24;1;1	
506479;Chamra;24;468;3722;5400;Chamra;24;1;1	
506480;Mudiya;24;468;3722;5500;Mudiya;24;1;1	
506481;Bhudha (Budha);24;468;3722;5600;Bhudha (Budha);24;1;1	
506482;Guhar Nani;24;468;3722;5700;Guhar Nani;24;1;1	
506483;Guhar Moti;24;468;3722;5800;Guhar Moti;24;1;1	
506484;Tahera;24;468;3722;5900;Tahera;24;1;1	
506485;Kunri;24;468;3722;6000;Kunri;24;1;1	
506486;Hamankhudi;24;468;3722;6100;Hamankhudi;24;1;1	
506487;Rodasar Lakki;24;468;3722;6200;Rodasar Lakki;24;1;1	
506488;Lakhmirani;24;468;3722;6300;Lakhmirani;24;1;1	
506489;Naredo;24;468;3722;6400;Naredo;24;1;1	
506490;Baranda;24;468;3722;6500;Baranda;24;1;1	
506491;Chakrai;24;468;3722;6600;Chakrai;24;1;1	
506492;Khadak;24;468;3722;6700;Khadak;24;1;1	
506493;Ravareshvar;24;468;3722;6800;Ravareshvar;24;1;1	
506494;Ashaldi (Suja Vandh);24;468;3722;6900;Ashaldi (Suja Vandh);24;1;1	
506495;Matana Madh;24;468;3722;7000;Matana Madh;24;1;1	
506496;Denma;24;468;3722;7100;Denma;24;1;1	
506497;Dhrang;24;468;3722;7200;Dhrang;24;1;1	
506498;Murchbana;24;468;3722;7300;Murchbana;24;1;1	
506499;Suja Vandh;24;468;3722;7400;Suja Vandh;24;1;1	
506500;Samjiaro;24;468;3722;7500;Samjiaro;24;1;1	
506501;Saran Moti;24;468;3722;7600;Saran Moti;24;1;1	
506502;Saran Nani;24;468;3722;7700;Saran Nani;24;1;1	
506503;Harudi;24;468;3722;7800;Harudi;24;1;1	
506504;Jadva;24;468;3722;7900;Jadva;24;1;1	
506505;Ratipar;24;468;3722;8000;Ratipar;24;1;1	
506506;Bhujpar;24;468;3722;8100;Bhujpar;24;1;1	
506507;Mori;24;468;3722;8200;Mori;24;1;1	
506508;Gugariyana;24;468;3722;8300;Gugariyana;24;1;1	
506509;Pipar;24;468;3722;8400;Pipar;24;1;1	
506510;Khirsara (Gunau);24;468;3722;8500;Khirsara (Gunau);24;1;1	
506511;Gunau;24;468;3722;8600;Gunau;24;1;1	
506512;Maniara;24;468;3722;8700;Maniara;24;1;1	
506513;Pakho;24;468;3722;8800;Pakho;24;1;1	
506514;Kharai;24;468;3722;8900;Kharai;24;1;1	
506515;Kharoda;24;468;3722;9000;Kharoda;24;1;1	
506516;Julrai;24;468;3722;9100;Julrai;24;1;1	
506517;Ramaniya;24;468;3722;9200;Ramaniya;24;1;1	
506518;Junagiya;24;468;3722;9300;Junagiya;24;1;1	
506519;Ekliun;24;468;3722;9400;Ekliun;24;1;1	
506520;Sambhada;24;468;3722;9500;Sambhada;24;1;1	
506521;Kandhora;24;468;3722;9600;Kandhora;24;1;1	
506522;Kotda;24;468;3722;9700;Kotda;24;1;1	
506523;Dedrani;24;468;3722;9800;Dedrani;24;1;1	
506524;Bhadara Nana;24;468;3722;9900;Bhadara Nana;24;1;1	
506525;Bhadara Mota;24;468;3722;10000;Bhadara Mota;24;1;1	
518743;Bor;24;484;3887;1237100;Bor;24;17;9	
506526;Lodrani (Parkara Vandh);24;468;3723;10100;Lodrani (Parkara Vandh);24;1;2	
506527;Versara;24;468;3723;10200;Versara;24;1;2	
506528;Jatavada (Jilar Vandh);24;468;3723;10300;Jatavada (Jilar Vandh);24;1;2	
506529;Dhabda;24;468;3723;10400;Dhabda;24;1;2	
506530;Bela;24;468;3723;10500;Bela;24;1;2	
506531;Mauvana (Shivagadh);24;468;3723;10600;Mauvana (Shivagadh);24;1;2	
506532;Vrajvani;24;468;3723;10700;Vrajvani;24;1;2	
506533;Anandpar;24;468;3723;10800;Anandpar;24;1;2	
506534;Balasar;24;468;3723;10900;Balasar;24;1;2	
506535;Lakda Vandh;24;468;3723;11000;Lakda Vandh;24;1;2	
506536;Surba Vandh;24;468;3723;11100;Surba Vandh;24;1;2	
506537;Deshalpar;24;468;3723;11200;Deshalpar;24;1;2	
506538;Nagalpar;24;468;3723;11300;Nagalpar;24;1;2	
506539;Gedi;24;468;3723;11400;Gedi;24;1;2	
506540;Fatehgadh;24;468;3723;11500;Fatehgadh;24;1;2	
506541;Manjuvas;24;468;3723;11600;Manjuvas;24;1;2	
506542;Momaymora;24;468;3723;11700;Momaymora;24;1;2	
506543;Khandek;24;468;3723;11800;Khandek;24;1;2	
506544;Hamirpar Nani;24;468;3723;11900;Hamirpar Nani;24;1;2	
506545;Sangadh;24;468;3723;12000;Sangadh;24;1;2	
506546;Selari;24;468;3723;12100;Selari;24;1;2	
506547;Thanpar;24;468;3723;12200;Thanpar;24;1;2	
506548;Davri;24;468;3723;12300;Davri;24;1;2	
506549;Rav Moti;24;468;3723;12400;Rav Moti;24;1;2	
506550;Sudana Vandh;24;468;3723;12500;Sudana Vandh;24;1;2	
506551;Naranpar;24;468;3723;12600;Naranpar;24;1;2	
