village_code_2011,village_name_2011,state_code_2011,district_code_2011,sub_district_code_2011,village_code_2001,village_name_2001,state_code_2001,district_code_2001,sub_district_code_2001,CEN_2001
379717,Jogendanathpur,21,370,2755,100,Jogendranathpur,21,1,1,2101000100000100
379718,Bhubaneswarpur,21,370,2755,200,Bhubaneswarpur,21,1,1,2101000100000200
379719,Chhatagaon,21,370,2755,300,Chhatagaon,21,1,1,2101000100000300
379720,Ghuchapali,21,370,2755,400,Ghuchapali,21,1,1,2101000100000400
379721,Kuturamal,21,370,2755,500,Kuturamal,21,1,1,2101000100000500
379722,Mandiadhipa,21,370,2755,600,Mandiadhipa,21,1,1,2101000100000600
379723,Hirapur,21,370,2755,700,Hirapur,21,1,1,2101000100000700
379724,Chuhapali,21,370,2755,800,Chuhapali,21,1,1,2101000100000800
379725,Kechhodadar,21,370,2755,900,Kechhodadar,21,1,1,2101000100000900
379726,Frejarpur,21,370,2755,1000,Frejarpur,21,1,1,2101000100001000
379727,Chheliamal,21,370,2755,1100,Chheliamal,21,1,1,2101000100001100
379728,Sukhatal,21,370,2755,1200,Sukhatal,21,1,1,2101000100001200
379729,Temri,21,370,2755,1300,Temri,21,1,1,2101000100001300
379730,Dhandupali,21,370,2755,1400,Dhandupali,21,1,1,2101000100001400
379731,Sodha,21,370,2755,1500,Sodha,21,1,1,2101000100001500
379732,Khursapali,21,370,2755,1600,Khursapali,21,1,1,2101000100001600
379733,Jhengnadihi,21,370,2755,1700,Jhengnadihi,21,1,1,2101000100001700
379734,Nagdihi,21,370,2755,1800,Nagdiha,21,1,1,2101000100001800
379735,Kuapali,21,370,2755,1900,Kuapali,21,1,1,2101000100001900
379736,Mahulpali,21,370,2755,2000,Mahulpali,21,1,1,2101000100002000
379737,Palsada,21,370,2755,2100,Palsada,21,1,1,2101000100002100
379738,Goebahali,21,370,2755,2200,Goebahali,21,1,1,2101000100002200
379739,Khaira,21,370,2755,2300,Khaira,21,1,1,2101000100002300
379740,Bijadihi,21,370,2755,2400,Bijadihi,21,1,1,2101000100002400
379741,Dengalikendu,21,370,2755,2500,Dengalikendu,21,1,1,2101000100002500
379742,Gandpali,21,370,2755,2600,Gandpali,21,1,1,2101000100002600
379743,Khandsibanji,21,370,2755,2700,Khandsibanji,21,1,1,2101000100002700
379744,Haridatal,21,370,2755,2800,Haridatal,21,1,1,2101000100002800
379745,Kermelabahal,21,370,2755,2900,Kermelabahal,21,1,1,2101000100002900
379746,Bhagatpur,21,370,2755,3000,Bhagatpur,21,1,1,2101000100003000
379747,Borasambar,21,370,2755,3100,Borasambar,21,1,1,2101000100003100
379748,Malda,21,370,2755,3200,Malda,21,1,1,2101000100003200
379749,Banmal,21,370,2755,3300,Banmal,21,1,1,2101000100003300
379750,Sadanandapur,21,370,2755,3400,Sadanandapur,21,1,1,2101000100003400
379751,Rasmunda,21,370,2755,3500,Rasmunda,21,1,1,2101000100003500
379752,Bhengarajpur,21,370,2755,3600,Bhengarajpur,21,1,1,2101000100003600
379753,Majhipali,21,370,2755,3700,Majhipali,21,1,1,2101000100003700
379754,Lergaon,21,370,2755,3800,Lergaon,21,1,1,2101000100003800
379755,Pipalpali,21,370,2755,3900,Pipalpali,21,1,1,2101000100003900
379756,Jharmunda,21,370,2755,4000,Jharmunda,21,1,1,2101000100004000
379757,Ranjitpur,21,370,2755,4100,Ranjitpur,21,1,1,2101000100004100
379758,Khandijharan,21,370,2755,4200,Khandijharan,21,1,1,2101000100004200
379759,Maharanimeripur,21,370,2755,4300,Maharanimeripur,21,1,1,2101000100004300
379760,Salhepali,21,370,2755,4400,Salhepali,21,1,1,2101000100004400
379761,Georgegarh,21,370,2755,4500,Georgegarh,21,1,1,2101000100004500
379762,Durgapali,21,370,2755,4600,Durgapali,21,1,1,2101000100004600
379763,Dandapat,21,370,2755,4700,Dandapat,21,1,1,2101000100004700
379764,Paikamal,21,370,2755,4800,Paikamal,21,1,1,2101000100004800
379765,Nuagaon,21,370,2755,4900,Nuagaon,21,1,1,2101000100004900
379766,Kenabuda,21,370,2755,5000,Kenabuda,21,1,1,2101000100005000
379767,Karlamal,21,370,2755,5100,Karlamal,21,1,1,2101000100005100
379768,Koknara,21,370,2755,5200,Koknara,21,1,1,2101000100005200
379769,Dunguripali,21,370,2755,5300,Dunguripali,21,1,1,2101000100005300
379770,Buturakhamar,21,370,2755,5400,Buturakhamar,21,1,1,2101000100005400
379771,Katangpali,21,370,2755,5500,Katangpali,21,1,1,2101000100005500
379772,Mundhela,21,370,2755,5600,Mundhela,21,1,1,2101000100005600
379773,Brahmandihi,21,370,2755,5700,Brahmandihi,21,1,1,2101000100005700
379774,Paraskhandi,21,370,2755,5800,Paraskhandi,21,1,1,2101000100005800
379775,Jhitiki,21,370,2755,5900,Jhitiki,21,1,1,2101000100005900
379776,Kapilaspur,21,370,2755,6000,Kapilaspur,21,1,1,2101000100006000
379777,Pathrel,21,370,2755,6100,Pathrel,21,1,1,2101000100006100
379778,Khaliamunda,21,370,2755,6200,Khaliamunda,21,1,1,2101000100006200
379779,Dhenkimunda,21,370,2755,6300,Dhenkimunda,21,1,1,2101000100006300
379780,Bhutmunda,21,370,2755,6400,Bhutmunda,21,1,1,2101000100006400
379781,Dumerbahal,21,370,2755,6500,Dumerbahal,21,1,1,2101000100006500
379782,Nilathar,21,370,2755,6600,Nilathar,21,1,1,2101000100006600
379783,Kansada,21,370,2755,6700,Kansada,21,1,1,2101000100006700
379784,Gadgaon,21,370,2755,6800,Gadgaon,21,1,1,2101000100006800
379785,Barpali,21,370,2755,6900,Barpali,21,1,1,2101000100006900
379786,Muneikel,21,370,2755,7000,Muneikel,21,1,1,2101000100007000
379787,Manmathpali,21,370,2755,7100,Manmathpali,21,1,1,2101000100007100
379788,Pipalkhunta,21,370,2755,7200,Pipalkhunta,21,1,1,2101000100007200
379789,Mithapali,21,370,2755,7300,Mithapali,21,1,1,2101000100007300
379790,Goranda,21,370,2755,7400,Goranda,21,1,1,2101000100007400
379791,Manbhang,21,370,2755,7500,Manbhang,21,1,1,2101000100007500
379792,Bahabalmath,21,370,2755,7600,Bahabalmath,21,1,1,2101000100007600
379793,Kuradhiphasa,21,370,2755,7700,Kuradhiphasa,21,1,1,2101000100007700
379794,Laudmal,21,370,2755,7800,Laudmal,21,1,1,2101000100007800
379795,Purena,21,370,2755,7900,Purena,21,1,1,2101000100007900
379796,Patrapali,21,370,2755,8000,Patrapali,21,1,1,2101000100008000
379797,Motipali,21,370,2755,8100,Motipali,21,1,1,2101000100008100
379798,Marjadapali,21,370,2755,8200,Marjadapali,21,1,1,2101000100008200
379799,Badibahal,21,370,2755,8300,Badibahal,21,1,1,2101000100008300
379800,Bhuikhar (Bhuinkhar),21,370,2755,8400,Bhuikhar (Bhuinkhar),21,1,1,2101000100008400
379801,Brahmantal,21,370,2755,8500,Brahmantal,21,1,1,2101000100008500
379802,Kharamal,21,370,2755,8600,Kharamal,21,1,1,2101000100008600
379803,Bartunda,21,370,2755,8700,Bartunda,21,1,1,2101000100008700
379804,Bheruamunda,21,370,2755,8800,Bheruamunda,21,1,1,2101000100008800
379805,Jamseth,21,370,2755,8900,Jamseth,21,1,1,2101000100008900
379806,Cherangajhanj,21,370,2755,9000,Cherangajhanj,21,1,1,2101000100009000
379807,Kadoghucha,21,370,2755,9100,Kadoghucha,21,1,1,2101000100009100
379808,Mandosil,21,370,2755,9200,Mandosil,21,1,1,2101000100009200
379809,Dharol,21,370,2755,9300,Dharol,21,1,1,2101000100009300
379810,Malpada,21,370,2755,9400,Malpada,21,1,1,2101000100009400
379811,Chhindeikela,21,370,2755,9500,Chhindeikela,21,1,1,2101000100009500
379812,Makhanamunda,21,370,2755,9600,Makhanamunda,21,1,1,2101000100009600
379813,Baraparlia,21,370,2755,9700,Baraparlia,21,1,1,2101000100009700
379814,Ganjadabar,21,370,2755,9800,Ganjadabar,21,1,1,2101000100009800
379815,Jalgarh,21,370,2755,9900,Jalgarh,21,1,1,2101000100009900
379816,Jharbandha,21,370,2755,10000,Jharbandha,21,1,1,2101000100010000
379817,Menakamunda,21,370,2755,10100,Menakamunda,21,1,1,2101000100010100
379818,Temrimal,21,370,2755,10200,Temrimal,21,1,1,2101000100010200
379819,Patrapali,21,370,2755,10300,Patrapali,21,1,1,2101000100010300
379820,Dudukijharia,21,370,2755,10400,Dudukijharia,21,1,1,2101000100010400
379821,Badanki,21,370,2756,10500,Badanki,21,1,2,2101000200010500
379822,Sukamanipur,21,370,2756,10600,Sukamaripur,21,1,2,2101000200010600
379823,Kukuripali,21,370,2756,10700,Kukuripali,21,1,2,2101000200010700
379824,Jodhpur,21,370,2756,10800,Jodhpur,21,1,2,2101000200010800
379825,Ureidadar,21,370,2756,10900,Ureidadar,21,1,2,2101000200010900
379826,Dabpali,21,370,2756,11000,Dabpali,21,1,2,2101000200011000
379827,Kurlupali,21,370,2756,11100,Kurlupali,21,1,2,2101000200011100
379828,Beheraduburi,21,370,2756,11200,Beheraduburi,21,1,2,2101000200011200
379829,Loharsing,21,370,2756,11300,Loharsing,21,1,2,2101000200011300
379830,Bhaisadarha (Bhainsadarha),21,370,2756,11400,Bhaisadarha (Bhainsadarha),21,1,2,2101000200011400
379831,Niljipatra,21,370,2756,11500,Niljipatra,21,1,2,2101000200011500
