village_code_2011,village_name_2011,state_code_2011,district_code_2011,sub_district_code_2011,village_code_2001,village_name_2001,state_code_2001,district_code_2001,sub_district_code_2001,CEN_2001
260925,Lachen,11,241,1547,100,Lachen,11,1,1,11010001100
260926,Lachung,11,241,1547,200,Lachung,11,1,1,11010001200
260927,Chungthang,11,241,1547,300,Chungthang,11,1,1,11010001300
260928,Shipgyer,11,241,1547,400,Shipgyer,11,1,1,11010001400
260929,Tung,11,241,1547,500,Tung,11,1,1,11010001500
260930,Lachen Forest Block,11,241,1547,600,Lachen Forest Block,11,1,1,11010001600
260931,Thangu Forest Block ,11,241,1547,,,11,1,1,11040002
260932,Lachung Forest Block,11,241,1547,700,Lachung Forest Block,11,1,1,11010001700
260933,Tshungthang Forest Block,11,241,1547,800,Tshungthang Forest Block,11,1,1,11010001800
260934,Naga-Namgor,11,241,1548,900,Naga-Namgor,11,1,2,11010002900
260936,Singchit,11,241,1548,1100,Singchit,11,1,2,110100021100
260938,Kazor ,11,241,1548,1300,Kazor ,11,1,2,110100021300
260940,Salim Pakel,11,241,1548,1500,Salim Pakel,11,1,2,110100021500
260941,Lingthem ,11,241,1548,1600,Lingthem ,11,1,2,110100021600
260942,Lingdem,11,241,1548,1700,Lingdem,11,1,2,110100021700
260943,Tingbong,11,241,1548,1800,Tingbong,11,1,2,110100021800
260944,Lingzah-Tolung,11,241,1548,1900,Lingzah-Tolung,11,1,2,110100021900
260945,Sakyong-Pentong,11,241,1548,2000,Sakyong-Pentong,11,1,2,110100022000
260947,Sangtok,11,241,1548,2200,Sangtok,11,1,2,110100022200
260948,Gor,11,241,1548,2300,Gor,11,1,2,110100022300
260949,Gnon-Samdong,11,241,1548,2400,Gnon-Samdong,11,1,2,110100022400
260950,Hee-Gyathang,11,241,1548,2500,Hee-Gyathang,11,1,2,110100022500
260951,Barfok,11,241,1548,2600,Barfok,11,1,2,110100022600
260952,Lingdong,11,241,1548,2700,Lingdong,11,1,2,110100022700
260954,Singhik,11,241,1548,2900,Singhik,11,1,2,110100022900
260955,Ringhim,11,241,1548,3000,Ringhim,11,1,2,110100023000
260956,Nampatam,11,241,1548,3100,Nampatam,11,1,2,110100023100
260957,Tingchim,11,241,1548,3200,Tingchim,11,1,2,110100023200
260958,U. Mangshila,11,241,1548,3300,U. Mangshila,11,1,2,110100023300
260959,L. Mangshila,11,241,1548,3400,L. Mangshila,11,1,2,110100023400
260960,Namok,11,241,1548,3500,Namok,11,1,2,110100023500
260961,Sheyam,11,241,1548,3600,Sheyam,11,1,2,110100023600
260962,Tangyek,11,241,1548,3700,Tangyek,11,1,2,110100023700
260963,Ramthamg,11,241,1548,3800,Ramthang,11,1,2,110100023800
260964,Rongong,11,241,1548,3900,Rongong,11,1,2,110100023900
260965,Tumlong,11,241,1548,4000,Tumlong,11,1,2,110100024000
260966,Phodong,11,241,1548,4100,Phodong,11,1,2,110100024100
260968,Phamtam,11,241,1548,4300,Phamtam,11,1,2,110100024300
260969,Men-Rongong,11,241,1548,4400,Men-Rongong,11,1,2,110100024400
260970,Paney-Phensong,11,241,1548,4500,Paney-Phensong,11,1,2,110100024500
260971,Labi,11,241,1548,4600,Labi,11,1,2,110100024600
260972,Kabi,11,241,1548,4700,Kabi,11,1,2,110100024700
260973,Tingda,11,241,1548,4800,Tingda,11,1,2,110100024800
260974,Upper Dzongu Forest Block,11,241,1548,4900,Upper Dzongu Forest Block,11,1,2,110100024900
260975,Lower Dzongu Forest Block,11,241,1548,,,11,1,2,11040002
260978,Phodong Forest Block,11,241,1548,5200,Phodong Forest Block,11,1,2,110100025200
260979,Kabi Forest Block,11,241,1548,5300,Kabi Forest Block,11,1,2,110100025300
260980,Dubdi,11,242,1549,5400,Dubdi,11,2,1,110200015400
260981,Yuksam,11,242,1549,5500,Yuksam,11,2,1,110200015500
260982,Gerethang,11,242,1549,5600,Gerethang,11,2,1,110200015600
260983,Labing,11,242,1549,5700,Labing,11,2,1,110200015700
260984,Tsozo,11,242,1549,5800,Tsozo,11,2,1,110200015800
260985,Khachodpalri,11,242,1549,5900,Khachodpalri,11,2,1,110200015900
260986,Tingle I,11,242,1549,6000,Thingle I,11,2,1,110200016000
260987,Tingle II,11,242,1549,6100,Thingle II,11,2,1,110200016100
260989,Meliaching,11,242,1549,6300,Melliaching,11,2,1,110200016300
260990,Singlitam,11,242,1549,6400,Singlitam,11,2,1,110200016400
260991,Tingbrum,11,242,1549,6500,Tingbrum,11,2,1,110200016500
260992,Topung,11,242,1549,6600,Topung,11,2,1,110200016600
260993,Singrangpung,11,242,1549,6700,Singrangpung,11,2,1,110200016700
260994,Nambu,11,242,1549,6800,Nambu,11,2,1,110200016800
260995,Darap,11,242,1549,6900,Darap,11,2,1,110200016900
260996,Sindrang,11,242,1549,7000,Sindrang,11,2,1,110200017000
260997,Singyang,11,242,1549,7100,Singyang,11,2,1,110200017100
260998,Naku,11,242,1549,7200,Naku,11,2,1,110200017200
261001,Yangten,11,242,1549,7500,Yangten,11,2,1,110200017500
261002,Unglok,11,242,1549,7600,Unglok,11,2,1,110200017600
261003,Bhaluthang,11,242,1549,7700,Bhaluthang,11,2,1,110200017700
261004,Chongrang,11,242,1549,7800,Chongrang,11,2,1,110200017800
261005,Arithang,11,242,1549,7900,Arithang,11,2,1,110200017900
261006,Kongri,11,242,1549,8000,Kongri,11,2,1,110200018000
261007,Labdang,11,242,1549,8100,Labdang,11,2,1,110200018100
261009,Narkhola,11,242,1549,8300,Narkhola,11,2,1,110200018300
261010,Mangnam,11,242,1549,8400,Mangnam,11,2,1,110200018400
261013,Tashiding,11,242,1549,8700,Tashiding,11,2,1,110200018700
261014,Umchung,11,242,1549,8800,Umchung,11,2,1,110200018800
261015,Gyalshing,11,242,1549,8900,Gyalshing,11,2,1,110200018900
261016,Kyonsda,11,242,1549,9000,Kyonsda,11,2,1,110200019000
261017,Yangthang,11,242,1549,9100,Yangthang,11,2,1,110200019100
261018,Tikjya,11,242,1549,9200,Tikjya,11,2,1,110200019200
261019,Lingchom,11,242,1549,9300,Lingchom,11,2,1,110200019300
261020,Sardong,11,242,1549,9400,Sardong,11,2,1,110200019400
261021,Lungzik,11,242,1549,9500,Lungzik,11,2,1,110200019500
261022,Sapong,11,242,1549,9600,Sapong,11,2,1,110200019600
261023,Bangten,11,242,1549,9700,Bangten,11,2,1,110200019700
261025,Liching,11,242,1549,9900,Liching,11,2,1,110200019900
261026,Gyaten,11,242,1549,10000,Gayten,11,2,1,1102000110000
261027,Karmatar,11,242,1549,10100,Karmatar,11,2,1,1102000110100
261028,Sopakha,11,242,1549,10200,Sopakha,11,2,1,1102000110200
261029,Maneybung,11,242,1549,10300,Maneybung,11,2,1,1102000110300
261030,Begha,11,242,1549,10400,Begha,11,2,1,1102000110400
261032,Dentam,11,242,1549,10600,Dentam,11,2,1,1102000110600
261033,Sangkhu,11,242,1549,10700,Sangkhu,11,2,1,1102000110700
261034,Radukhandu,11,242,1549,10800,Radu-Khandu,11,2,1,1102000110800
261035,Hee,11,242,1549,10900,Hee,11,2,1,1102000110900
261036,Hee-Patal,11,242,1549,11000,Hee-Patal,11,2,1,1102000111000
261037,Pecherek,11,242,1549,11100,Pecherek,11,2,1,1102000111100
261038,Martam,11,242,1549,11200,Martam,11,2,1,1104000134600
261039,Barnyak,11,242,1549,11300,Barnyak,11,2,1,1103000124700
261040,Barthang,11,242,1549,11400,Barthang,11,2,1,1102000111400
261042,Chingthang,11,242,1549,11600,Chingthang,11,2,1,1102000111600
261043,Mengyong,11,242,1549,11700,Mengyong,11,2,1,1102000111700
261044,Miyong,11,242,1549,11800,Miyong,11,2,1,1102000111800
261045,Yuksam Forest Block,11,242,1549,11900,Yuksam Forest Block,11,2,1,1102000111900
261046,Khachodpalri Forest Block,11,242,1549,,,11,2,1,11040002
261047,Tashiding Forest Block,11,242,1549,12000,Tashiding Forest Block,11,2,1,1102000112000
261048,Gyalshing Forest Block,11,242,1549,12100,Gyalshing Forest Block,11,2,1,1102000112100
261049,Pelling Forest Blocks,11,242,1549,,,11,2,1,11040002
261050,Legship Forest Block,11,242,1549,,,11,2,1,11040002
261051,Dentam Forest Block,11,242,1549,12200,Dentam Forest Block,11,2,1,1102000112200
261052,Bernyak Forest Block,11,242,1549,12300,Bernyak Forest Block,11,2,1,1102000112300
261053,Tadong},11,242,1550,12400,Tadong,11,2,2,1102000212400
261054,Rinchenpong,11,242,1550,12500,Rinchenpong,11,2,2,1102000212500
261055,Sangadorji,11,242,1550,12600,Sangadorji,11,2,2,1102000212600
261056,Jeel,11,242,1550,12700,Jeel,11,2,2,1102000212700
261057,Hathidunga,11,242,1550,12800,Hathidunga,11,2,2,1102000212800
261058,Bum,11,242,1550,12900,Bum,11,2,2,1102000212900
261059,Rishi,11,242,1550,13000,Rishi,11,2,2,1102000213000
261060,Bara-Samdong,11,242,1550,13100,Bara-Samdong,11,2,2,1102000213100
261061,Sribadam,11,242,1550,13200,Sribadam,11,2,2,1102000213200
261062,Deythang,11,242,1550,13300,Deythang,11,2,2,1103000228100
261063,Parrengaon,11,242,1550,13400,Parrengaon,11,2,2,1102000213400
261064,Takuthang,11,242,1550,13500,Takuthang,11,2,2,1102000213500
261065,Chuchen,11,242,1550,13600,Chuchen,11,2,2,1102000213600
261066,Tinzerbong,11,242,1550,13700,Tinzerbong,11,2,2,1102000213700
261067,Suldung,11,242,1550,13800,Suldung,11,2,2,1102000213800
261068,Kamling,11,242,1550,13900,Kamling,11,2,2,1102000213900
261069,Mabong,11,242,1550,14000,Mabong,11,2,2,1102000214000
261070,Segeng,11,242,1550,14100,Segeng,11,2,2,1102000214100
261071,Samsing,11,242,1550,14200,Samsing,11,2,2,1102000214200
261072,Geling,11,242,1550,14300,Geling,11,2,2,1102000214300
261073,Suntaley,11,242,1550,14400,Suntaley,11,2,2,1102000214400
261074,Khanisherbung,11,242,1550,14500,Khanisherbung,11,2,2,1102000214500
261075,Aroobotey,11,242,1550,14600,Aroobotey,11,2,2,1102000214600
261076,Chota-Samdong,11,242,1550,14700,Chota Samdong (Sumdong),11,2,2,1102000214700
261077,Singling,11,242,1550,14800,Singling,11,2,2,1102000214800
261078,Karthok,11,242,1550,14900,Karthok,11,2,2,1102000214900
261079,Burikhop(Dodok),11,242,1550,15000,Burikhop(Dodok),11,2,2,1102000215000
261080,Burikhop(Rumbuk),11,242,1550,15100,Burikhop(Rumbuk),11,2,2,1102000215100
261081,Rumbuk,11,242,1550,15200,Rumbuk,11,2,2,1102000215200
261082,Bhareng,11,242,1550,15300,Bhareng,11,2,2,1102000215300
261083,Ribdi,11,242,1550,15400,Ribdi,11,2,2,1102000215400
261084,Okhery,11,242,1550,15500,Okhrey,11,2,2,1102000215500
261085,Tikpur,11,242,1550,15600,Tikpur,11,2,2,1102000215600
261086,Siktam,11,242,1550,15700,Siktam,11,2,2,1102000215700
261087,Salyangdang,11,242,1550,15800,Salyangdang,11,2,2,1102000215800
261088,Longchok,11,242,1550,15900,Longchok,11,2,2,1102000215900
261089,Lower Fambong,11,242,1550,16000,Lower Fambong,11,2,2,1102000216000
261090,Dhalam(Daramden),11,242,1550,16100,Dhalam(Daramden),11,2,2,1102000216100
261091,Upper Fambong,11,242,1550,16200,Upper Fambong,11,2,2,1102000216200
261092,Timberbong,11,242,1550,16300,Timberbong,11,2,2,1102000216300
261093,Tharpu,11,242,1550,16400,Tharpu,11,2,2,1102000216400
261094,Soreng,11,242,1550,16500,Soreng,11,2,2,1102000216500
261095,Malbasey,11,242,1550,16600,Malbasey,11,2,2,1102000216600
261096,Mendo-Goan,11,242,1550,16700,Mendo-Gaon,11,2,2,1102000216700
261097,Chakung,11,242,1550,16800,Chakung,11,2,2,1102000216800
261098,Chumbong,11,242,1550,16900,Chumbong,11,2,2,1102000216900
261099,Zoom,11,242,1550,17000,Zoom,11,2,2,1102000217000
261100,Hilley Forest Block,11,242,1550,17100,Hilley Forest Block,11,2,2,1102000217100
261101,Sombaria Forest Block,11,242,1550,17200,Sombaria Forest Block,11,2,2,1102000217200
261102,Soreng Forest Block,11,242,1550,17300,Soreng Forest Block,11,2,2,1102000217300
261103,Sribadam Forest Block,11,242,1550,,,11,2,2,11040002
261105,Omchu,11,243,1551,17500,Omchu,11,3,1,1103000117500
261106,Chumlok,11,243,1551,17600,Chumlok,11,3,1,1103000117600
261107,Wak,11,243,1551,17700,Wak,11,3,1,1103000117700
261108,Chemchey,11,243,1551,17800,Chemchey,11,3,1,1103000117800
261109,Damthang,11,243,1551,17900,Damthang,11,3,1,1103000117900
261110,Jaubari,11,243,1551,18000,Jaubari,11,3,1,1103000118000
261111,Tingrithang,11,243,1551,18100,Tingrithang,11,3,1,1103000118100
261112,Mamley,11,243,1551,18200,Mamley,11,3,1,1103000118200
261114,Pajer,11,243,1551,18400,Pajer,11,3,1,1103000118400
